date,forecast,lower,upper,model,material_id,site_id
2026-01-01,7.9688631364107225,5.778920316215693,10.129929238512437,ensemble,MAT0020,SITE0001
2026-01-02,6.416146581942769,3.496294164946033,9.603551853546458,ensemble,MAT0020,SITE0001
2026-01-03,6.721719300095337,5.175755913078301,9.63389964093509,ensemble,MAT0020,SITE0001
2026-01-04,6.683003603584442,4.516434380946231,9.632149968122977,ensemble,MAT0020,SITE0001
2026-01-05,5.255934697391932,0.8313233973517979,9.632250843844501,ensemble,MAT0020,SITE0001
2026-01-06,6.395239340110199,4.140714670413185,9.63224502795074,ensemble,MAT0020,SITE0001
2026-01-07,6.221867852226423,3.7912720238237583,9.632245363260562,ensemble,MAT0020,SITE0001
2026-01-08,5.747236240131457,2.7101829106804756,9.632245343928593,ensemble,MAT0020,SITE0001
2026-01-09,6.181185966885665,3.4290491549721684,9.63224534504316,ensemble,MAT0020,SITE0001
2026-01-10,6.191927664233041,4.043698733419084,9.6322453449789,ensemble,MAT0020,SITE0001
2026-01-11,6.852065517279667,5.275370930018199,9.632245344982605,ensemble,MAT0020,SITE0001
2026-01-12,6.153549620813918,3.5830619027327733,9.632245344982392,ensemble,MAT0020,SITE0001
2026-01-13,6.483580687804165,4.2862407780875325,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-14,6.253528257536921,3.6062657927769375,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-15,6.057018622876936,3.2198017375808115,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-16,6.51884029064682,3.9056041856453416,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-17,6.377657579736058,3.9725780148799297,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-18,7.00124808101033,5.028562295296813,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-19,6.06598288657296,2.586236396715488,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-20,6.388516191039062,3.2531852403823844,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-21,6.380519071724167,3.2507743566482437,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-22,6.1996127782216135,2.94613304165954,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-23,6.755543246617587,3.9707920193789685,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-24,6.56748615605155,3.9725780148799297,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-25,7.160647138156811,5.028562295296813,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-26,5.990322639934106,1.9847957527084212,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-27,6.2318505102393145,2.521253464798665,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-28,6.302667629918784,2.872784279782301,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-29,6.208220639227686,2.94613304165954,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-30,6.607012037815719,3.6153005832502743,9.632245344982405,ensemble,MAT0020,SITE0001
2026-01-01,10.543386910184777,8.406405299677937,13.333636716632506,ensemble,MAT0020,SITE0002
2026-01-02,10.464576347419742,9.888555288265035,11.572685762674295,ensemble,MAT0020,SITE0002
2026-01-03,9.969431858671085,8.66386655692351,11.35587098478561,ensemble,MAT0020,SITE0002
2026-01-04,10.036729271925305,6.624179594882675,13.597450191412316,ensemble,MAT0020,SITE0002
2026-01-05,10.735119773831713,9.643743214094945,12.673058077910797,ensemble,MAT0020,SITE0002
2026-01-06,9.777652289413615,5.8731376747173005,13.571261164034164,ensemble,MAT0020,SITE0002
2026-01-07,10.005116526208498,7.425551007903237,12.701240541232874,ensemble,MAT0020,SITE0002
2026-01-08,12.030331659235854,9.888558029489381,15.057865721421479,ensemble,MAT0020,SITE0002
2026-01-09,9.841053248898987,6.551044441018639,13.083557276188941,ensemble,MAT0020,SITE0002
2026-01-10,10.060805676879612,7.649060257849789,12.644798743299665,ensemble,MAT0020,SITE0002
2026-01-11,10.007030740382323,5.471507962830145,14.661026228827442,ensemble,MAT0020,SITE0002
2026-01-12,10.728950870037272,8.78544365634124,13.512850924281189,ensemble,MAT0020,SITE0002
2026-01-13,9.457484265212058,4.290399804432425,14.193494961714366,ensemble,MAT0020,SITE0002
2026-01-14,9.75483842026539,6.2595891710582094,13.116368060248579,ensemble,MAT0020,SITE0002
2026-01-15,11.661845246724445,9.816926826567194,15.280050884116763,ensemble,MAT0020,SITE0002
